Date,Rainfall,Rain_3d_sum,Rain_5d_sum,Rain_7d_sum,Flood_Prob,Flood_Prob_Smoothed,Flood_Pred_Smoothed
09/09/2025,10.7,10.7,10.7,10.7,0.69,0.69,TRUE
10/09/2025,2.4,13.1,13.1,13.1,0.01,0.84,TRUE
11/09/2025,1.4,14.5,14.5,14.5,0.84,0.84,TRUE
12/09/2025,0,3.8,14.5,14.5,0.35,0.84,TRUE
13/09/2025,1.9,3.3,16.4,16.4,0.03,0.35,FALSE
14/09/2025,3.2,5.1,8.9,19.599999999999998,0.06,0.06,FALSE
15/09/2025,4.5,9.6,11,24.1,0.06,0.12,FALSE
16/09/2025,5.3,13,14.900000000000002,18.7,0.12,0.22,FALSE
17/09/2025,5.3,15.1,20.200000000000003,21.6,0.22,0.22,FALSE
18/09/2025,7.4,18,25.7,27.6,0.1,0.22,FALSE
19/09/2025,1.4,14.1,23.9,29,0.05,0.25,FALSE
20/09/2025,0,8.8,19.4,27.1,0.25,0.25,FALSE
21/09/2025,0,1.4,14.1,23.900000000000002,0.09,0.25,FALSE
22/09/2025,0,0,8.8,19.4,0,0.19,FALSE
23/09/2025,0,0,1.4,14.100000000000001,0.19,0.19,FALSE
23/09/2025,0,0,0,8.8,0.01,0.19,FALSE
24/09/2025,0,0,0,1.4,0,0.01,FALSE
25/09/2025,0,0,0,0,0,0,FALSE
26/09/2025,0,0,0,0,0,0,FALSE
27/09/2025,0,0,0,0,0,0,FALSE
